date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl_pct
2021-09-01,buy,2021-09-01 09:25:00,46987.8731955,46893.897449109,47316.78830786849,closed,True,2021-09-01 10:45:00,47316.78830786849,Target,0.5799999999999859
2021-09-02,sell,2021-09-02 10:45:00,49533.80700685,49682.40842787055,49187.070357802055,closed,False,2021-09-02 12:05:00,49682.40842787055,StopLoss,-0.41999999999999327
2021-09-03,buy,2021-09-03 09:20:00,49242.95087084999,49144.464969108296,49587.651526945934,closed,True,2021-09-03 10:15:00,49587.651526945934,Target,0.5799999999999832
2021-09-04,buy,2021-09-04 09:55:00,50379.74618444999,50228.606945896645,50732.40440774114,closed,False,2021-09-04 10:40:00,50228.606945896645,StopLoss,-0.4199999999999946
2021-09-05,sell,2021-09-05 09:25:00,49790.627132550006,49890.2083868151,49442.09274262215,closed,True,2021-09-05 12:55:00,49890.2083868151,StopLoss,-0.31999999999999296
2021-09-06,buy,2021-09-06 10:55:00,51712.67871765,51557.54068149705,52074.66746867354,closed,False,2021-09-06 17:15:00,51557.54068149705,StopLoss,-0.42000000000000354
2021-09-07,sell,2021-09-07 09:30:00,52590.66601275001,52695.84734477551,52222.531350660756,closed,True,2021-09-07 12:40:00,52222.531350660756,Target,0.5800000000000017
2021-09-08,sell,2021-09-08 11:15:00,46354.034088650005,46493.09619091595,46029.55585002946,closed,False,2021-09-08 11:45:00,46029.55585002946,Target,0.5799999999999954
2021-09-09,buy,2021-09-09 10:05:00,45984.170995199995,45892.20265320959,46306.06019216639,closed,True,2021-09-09 11:15:00,46306.06019216639,Target,0.5799999999999923
2021-09-10,sell,2021-09-10 12:05:00,46509.92490425,46649.45467896275,46184.35542992025,closed,False,2021-09-10 12:45:00,46184.35542992025,Target,0.5799999999999998
2021-09-11,buy,2021-09-11 09:30:00,45305.69632739999,45169.779238417796,45622.83620169179,closed,False,2021-09-11 11:00:00,45169.779238417796,StopLoss,-0.4199999999999957
2021-09-12,buy,2021-09-12 09:55:00,45342.22188105,45206.19521540685,45659.61743421734,closed,False,2021-09-12 12:40:00,45206.19521540685,StopLoss,-0.4199999999999969
2021-09-13,sell,2021-09-13 09:30:00,44839.095137050004,44928.7733273241,44525.221471090656,closed,True,2021-09-13 13:05:00,44525.221471090656,Target,0.5799999999999971
2021-09-14,buy,2021-09-14 09:45:00,45302.19387705,45166.28729541885,45619.30923418934,closed,False,2021-09-14 10:35:00,45166.28729541885,StopLoss,-0.4199999999999969
2021-09-15,sell,2021-09-15 09:30:00,47076.028410900006,47170.1804677218,46746.4962120237,closed,True,2021-09-15 13:35:00,47170.1804677218,StopLoss,-0.3199999999999927
2021-09-16,buy,2021-09-16 09:40:00,47908.01693745,47764.292886637646,48243.37305601214,closed,False,2021-09-16 10:00:00,48243.37305601214,Target,0.5799999999999872
2021-09-17,buy,2021-09-17 10:25:00,48075.634204199996,47931.407301587395,48412.16364362939,closed,False,2021-09-17 11:35:00,47931.407301587395,StopLoss,-0.4200000000000029
2021-09-18,buy,2021-09-18 09:45:00,47970.060343649995,47874.120222962694,48305.85076605554,closed,True,2021-09-18 10:30:00,48305.85076605554,Target,0.5799999999999909
2021-09-19,buy,2021-09-19 11:30:00,48021.5963988,47925.5532060024,48357.747573591594,closed,True,2021-09-19 16:35:00,47925.5532060024,StopLoss,-0.3200000000000049
2021-09-20,sell,2021-09-20 09:30:00,45491.63810235,45628.113016657044,45173.19663563355,closed,False,2021-09-20 10:00:00,45628.113016657044,StopLoss,-0.4199999999999867
2021-09-21,sell,2021-09-21 09:50:00,42797.52503275,42925.91760784825,42497.942357520755,closed,False,2021-09-21 09:55:00,42497.942357520755,Target,0.579999999999997
2021-09-22,sell,2021-09-22 09:40:00,42023.067455250006,42149.13665761575,41728.905983063254,closed,False,2021-09-22 11:00:00,42149.13665761575,StopLoss,-0.41999999999999194
2021-09-23,buy,2021-09-23 10:05:00,44190.41606595,44057.84481775215,44499.74897841164,closed,False,2021-09-23 10:15:00,44057.84481775215,StopLoss,-0.41999999999999554
2021-09-24,sell,2021-09-24 09:20:00,44329.452086050005,44418.11099022211,44019.145921447656,closed,True,2021-09-24 10:50:00,44019.145921447656,Target,0.5799999999999974
2021-09-25,buy,2021-09-25 09:55:00,42758.41422285,42630.13898018145,43057.723122409945,closed,False,2021-09-25 10:45:00,42630.13898018145,StopLoss,-0.419999999999994
2021-09-26,sell,2021-09-26 10:00:00,41934.12974635,42059.93213558905,41640.59083812555,closed,False,2021-09-26 10:30:00,42059.93213558905,StopLoss,-0.41999999999999604
2021-09-27,sell,2021-09-27 09:35:00,44016.67115475,44148.721168214244,43708.55445666675,closed,False,2021-09-27 11:40:00,44148.721168214244,StopLoss,-0.419999999999983
2021-09-28,buy,2021-09-28 09:20:00,42541.262301149996,42456.179776547695,42839.051137258044,closed,True,2021-09-28 10:40:00,42456.179776547695,StopLoss,-0.32000000000000334
2021-09-29,buy,2021-09-29 09:20:00,41857.2837828,41731.711931451595,42150.28476927959,closed,False,2021-09-29 09:25:00,42150.28476927959,Target,0.5799999999999854
2021-09-30,buy,2021-09-30 09:30:00,43523.4494493,43392.8791009521,43828.113595445095,closed,False,2021-09-30 12:25:00,43392.8791009521,StopLoss,-0.4200000000000023
2021-10-01,buy,2021-10-01 09:30:00,43685.5628655,43554.506176903495,43991.36180555849,closed,False,2021-10-01 10:00:00,43554.506176903495,StopLoss,-0.42000000000000404
2021-10-02,sell,2021-10-02 09:20:00,47458.760349200005,47601.1366302476,47126.5490267556,closed,False,2021-10-02 09:35:00,47601.1366302476,StopLoss,-0.41999999999999243
2021-10-03,buy,2021-10-03 09:20:00,47700.3716667,47604.9709233666,48034.27426836689,closed,True,2021-10-03 11:00:00,48034.27426836689,Target,0.5799999999999875
2021-10-04,sell,2021-10-04 09:35:00,47358.33068915,47500.405681217446,47026.82237432595,closed,False,2021-10-04 09:40:00,47500.405681217446,StopLoss,-0.41999999999998416
2021-10-05,sell,2021-10-05 10:20:00,49119.59711540001,49266.9559067462,48775.75993559221,closed,False,2021-10-05 10:35:00,49266.9559067462,StopLoss,-0.419999999999992
2021-10-06,buy,2021-10-06 09:20:00,51600.0999564,51445.2996565308,51961.3006560948,closed,False,2021-10-06 09:50:00,51445.2996565308,StopLoss,-0.42000000000000526
2021-10-07,sell,2021-10-07 10:40:00,54727.669276600005,54891.8522844298,54344.57559166381,closed,False,2021-10-07 11:35:00,54891.8522844298,StopLoss,-0.4199999999999881
2021-10-08,sell,2021-10-08 10:45:00,53658.4181696,53819.3934241088,53282.809242412804,closed,False,2021-10-08 10:50:00,53819.3934241088,StopLoss,-0.41999999999999565
2021-10-09,buy,2021-10-09 09:55:00,54681.255564299994,54517.211797607095,55064.02435325009,closed,False,2021-10-09 10:50:00,54517.211797607095,StopLoss,-0.4199999999999986
2021-10-10,buy,2021-10-10 09:40:00,54925.42638869999,54760.65010953389,55309.90437342088,closed,False,2021-10-10 10:20:00,55309.90437342088,Target,0.5799999999999855
2021-10-11,buy,2021-10-11 09:25:00,56389.450634999994,56276.67173372999,56784.17678944499,closed,True,2021-10-11 12:35:00,56784.17678944499,Target,0.5799999999999893
2021-10-12,buy,2021-10-12 10:10:00,57019.39134794999,56848.33317390614,57418.527087385635,closed,False,2021-10-12 11:00:00,56848.33317390614,StopLoss,-0.4200000000000003
2021-10-13,sell,2021-10-13 10:00:00,56211.13027505,56379.76366587515,55817.65236312465,closed,False,2021-10-13 11:05:00,55817.65236312465,Target,0.5800000000000014
2021-10-14,sell,2021-10-14 09:40:00,58032.85435735,58148.9200660647,57626.62437684855,closed,True,2021-10-14 13:00:00,57626.62437684855,Target,0.5799999999999969
2021-10-15,buy,2021-10-15 09:25:00,59340.014879849994,59221.334850090294,59755.39498400894,closed,True,2021-10-15 10:40:00,59755.39498400894,Target,0.5799999999999946
2021-10-16,buy,2021-10-16 09:45:00,61743.196169999996,61557.96658148999,62175.398543189986,closed,False,2021-10-16 11:00:00,62175.398543189986,Target,0.5799999999999838
2021-10-17,sell,2021-10-17 11:05:00,60902.344594500006,61024.149283689,60476.02818233851,closed,True,2021-10-17 13:25:00,60476.02818233851,Target,0.5799999999999955
2021-10-18,sell,2021-10-18 09:20:00,62063.531310700004,62249.7219046321,61629.086591525105,closed,False,2021-10-18 10:35:00,62249.7219046321,StopLoss,-0.41999999999998894
2021-10-19,sell,2021-10-19 19:55:00,61655.8168699,61840.784320509694,61224.226151810704,closed,False,2021-10-19 20:05:00,61840.784320509694,StopLoss,-0.419999999999988
2021-10-20,buy,2021-10-20 10:25:00,63966.7517922,63774.8515368234,64414.51905474539,closed,False,2021-10-20 11:10:00,63774.8515368234,StopLoss,-0.41999999999999493
2021-10-21,sell,2021-10-21 11:55:00,64529.30430745001,64658.36291606491,64077.59917729786,closed,True,2021-10-21 12:30:00,64658.36291606491,StopLoss,-0.31999999999999656
2021-10-22,sell,2021-10-22 12:10:00,62729.065177300006,62917.2523728319,62289.961721058906,closed,False,2021-10-22 13:05:00,62917.2523728319,StopLoss,-0.4199999999999887
2021-10-23,buy,2021-10-23 09:40:00,61233.33946905,61110.8727901119,61661.972845333345,closed,True,2021-10-23 10:10:00,61110.8727901119,StopLoss,-0.32000000000000134
2021-10-24,sell,2021-10-24 09:50:00,61044.744858750004,61166.834348467506,60617.431644738754,closed,True,2021-10-24 13:40:00,60617.431644738754,Target,0.5800000000000004
2021-10-25,buy,2021-10-25 12:50:00,62199.01506555,62074.617035418894,62634.40817100884,closed,True,2021-10-25 13:00:00,62634.40817100884,Target,0.5799999999999945
2021-10-26,sell,2021-10-26 09:40:00,62607.65021515,62732.865515580306,62169.39666364395,closed,True,2021-10-26 13:40:00,62732.865515580306,StopLoss,-0.3200000000000058
2021-10-27,buy,2021-10-27 10:05:00,60828.556278599994,60646.070609764196,61254.356172550186,closed,False,2021-10-27 10:10:00,61254.356172550186,Target,0.5799999999999873
2021-10-28,buy,2021-10-28 09:40:00,59123.363308199994,58945.99321827539,59537.22685135739,closed,False,2021-10-28 10:10:00,58945.99321827539,StopLoss,-0.42000000000000554
