date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl_pct
2021-01-01,buy,2021-01-01 09:45:00+00:00,29431.130319054,29342.836928096836,29637.148231287374,closed,False,2021-01-01 10:00:00+00:00,29342.836928096836,StopLoss,-0.42000000000000015
2021-01-02,sell,2021-01-02 09:40:00+00:00,29308.817391434502,29396.7438436088,29103.65566969446,closed,False,2021-01-02 10:05:00+00:00,29396.7438436088,StopLoss,-0.4199999999999843
2021-01-03,buy,2021-01-03 10:20:00+00:00,32902.438881942,32803.73156529617,33132.755954115586,closed,False,2021-01-03 10:25:00+00:00,33132.755954115586,Target,0.5799999999999812
2021-01-04,sell,2021-01-04 10:30:00+00:00,33163.967282219506,33263.45918406616,32931.81951124397,closed,False,2021-01-04 10:45:00+00:00,33263.45918406616,StopLoss,-0.4199999999999848
2021-01-05,sell,2021-01-05 09:20:00+00:00,31258.262019515503,31352.036805574047,31039.454185378894,closed,False,2021-01-05 09:25:00+00:00,31352.036805574047,StopLoss,-0.4199999999999923
2021-01-06,buy,2021-01-06 09:25:00+00:00,34208.93792200049,34106.31110823449,34448.40048745449,closed,False,2021-01-06 09:35:00+00:00,34448.40048745449,Target,0.5799999999999886
2021-01-07,sell,2021-01-07 13:45:00+00:00,36757.740238848506,36868.013459565045,36500.436057176565,closed,False,2021-01-07 13:50:00+00:00,36500.436057176565,Target,0.5800000000000053
2021-01-08,buy,2021-01-08 09:20:00+00:00,38482.38767104649,38366.94050803335,38751.76438474381,closed,False,2021-01-08 09:25:00+00:00,38366.94050803335,StopLoss,-0.41999999999999477
2021-01-09,buy,2021-01-09 10:00:00+00:00,40418.717347043996,40297.46119500286,40701.6483684733,closed,False,2021-01-09 10:20:00+00:00,40297.46119500286,StopLoss,-0.42000000000000187
2021-01-10,sell,2021-01-10 10:00:00+00:00,40366.247875452,40487.34661907835,40083.684140323836,closed,False,2021-01-10 10:05:00+00:00,40487.34661907835,StopLoss,-0.41999999999999277
2021-01-11,sell,2021-01-11 12:10:00+00:00,33473.0408101485,33573.459932578946,33238.72952447746,closed,False,2021-01-11 12:15:00+00:00,33238.72952447746,Target,0.5800000000000108
2021-01-12,buy,2021-01-12 09:25:00+00:00,34978.971645449994,34874.034730513646,35223.82444696814,closed,False,2021-01-12 09:30:00+00:00,35223.82444696814,Target,0.5799999999999821
2021-01-13,buy,2021-01-13 12:55:00+00:00,34370.5009531455,34267.389450286064,34611.09445981751,closed,False,2021-01-13 13:00:00+00:00,34611.09445981751,Target,0.5799999999999815
2021-01-14,sell,2021-01-14 09:20:00+00:00,37119.581808558,37230.94055398367,36859.74473589809,closed,False,2021-01-14 09:35:00+00:00,36859.74473589809,Target,0.5800000000000096
2021-01-15,sell,2021-01-15 09:20:00+00:00,38474.8176146765,38590.24206752053,38205.493891373764,closed,False,2021-01-15 09:25:00+00:00,38590.24206752053,StopLoss,-0.4199999999999881
2021-01-16,sell,2021-01-16 10:50:00+00:00,35959.21451843999,36031.13294747687,35707.50001681091,closed,True,2021-01-16 11:05:00+00:00,35707.50001681091,Target,0.5800000000000044
2021-01-17,sell,2021-01-17 10:15:00+00:00,35965.99976611901,36037.93176565124,35714.237767756174,closed,True,2021-01-17 10:35:00+00:00,35714.237767756174,Target,0.579999999999997
2021-01-18,sell,2021-01-18 09:20:00+00:00,34910.00437494551,35014.73438807034,34665.63434432089,closed,False,2021-01-18 09:25:00+00:00,35014.73438807034,StopLoss,-0.4199999999999926
2021-01-19,sell,2021-01-19 09:25:00+00:00,36536.1754206765,36645.78394693853,36280.42219273177,closed,False,2021-01-19 09:35:00+00:00,36645.78394693853,StopLoss,-0.41999999999998877
2021-01-20,sell,2021-01-20 09:25:00+00:00,35128.79113883951,35199.048721117186,34882.88960086763,closed,True,2021-01-20 09:35:00+00:00,35199.048721117186,StopLoss,-0.3199999999999971
2021-01-21,buy,2021-01-21 10:00:00+00:00,34858.4223079035,34753.84704097979,35102.43126405882,closed,False,2021-01-21 10:05:00+00:00,34753.84704097979,StopLoss,-0.4200000000000036
2021-01-22,buy,2021-01-22 09:20:00+00:00,30841.622113504494,30779.938869277485,31057.51346829902,closed,True,2021-01-22 09:30:00+00:00,31057.51346829902,Target,0.5799999999999846
2021-01-23,buy,2021-01-23 09:45:00+00:00,32686.828038395997,32621.454382319203,32915.63583466477,closed,True,2021-01-23 10:10:00+00:00,32621.454382319203,StopLoss,-0.3200000000000057
2021-01-24,buy,2021-01-24 09:25:00+00:00,32430.954026326497,32366.092118273846,32657.97070451078,closed,True,2021-01-24 09:55:00+00:00,32366.092118273846,StopLoss,-0.3199999999999951
