date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-01-20,buy,2020-01-20 04:00:00,8661.7737225,8361.7737225,9361.7737225,closed,False,2020-01-20 13:40:00,8576.09,TimeExit,-85.68372249999993,-0.9892168191536377
2020-01-21,buy,2020-01-21 04:15:00,8668.09188,8368.09188,9368.09188,closed,False,2020-01-21 13:40:00,8646.465,TimeExit,-21.6268799999998,-0.24949989339522194
2020-01-22,buy,2020-01-22 04:35:00,8713.684664999999,8513.684664999999,9413.684664999999,closed,True,2020-01-22 13:40:00,8625.865,TimeExit,-87.81966499999908,-1.007836160892328
2020-01-23,sell,2020-01-23 04:50:00,8548.62355,8748.62355,7848.62355,closed,True,2020-01-23 13:40:00,8337.11,TimeExit,211.51354999999967,2.5370128257873548
2020-01-24,sell,2020-01-24 09:40:00,8261.2523075,8461.2523075,7561.252307500001,closed,True,2020-01-24 13:40:00,8405.315,TimeExit,-144.06269249999968,-1.7139475736483334
2020-01-25,buy,2020-01-25 08:25:00,8330.7182775,8030.7182775,9030.7182775,closed,False,2020-01-25 13:40:00,8327.175000000001,TimeExit,-3.5432774999990215,-0.04253267703900887
2020-01-26,buy,2020-01-26 05:15:00,8356.176,8156.1759999999995,9056.176,closed,True,2020-01-26 13:40:00,8434.74,TimeExit,78.5640000000003,0.9401908241281731
2020-01-27,sell,2020-01-27 04:25:00,8617.169260000002,8817.169260000002,7917.169260000002,closed,True,2020-01-27 13:40:00,8741.005000000001,TimeExit,-123.83573999999862,-1.4167219902059158
2020-01-28,buy,2020-01-28 04:10:00,9114.795119999999,8814.795119999999,9814.795119999999,closed,False,2020-01-28 13:40:00,9057.23,TimeExit,-57.5651199999993,-0.6315569274145005
2020-01-29,buy,2020-01-29 04:00:00,9359.647485,9159.647485,10059.647485,closed,True,2020-01-29 13:40:00,9310.345000000001,TimeExit,-49.30248499999834,-0.5267557894569341
2020-01-30,buy,2020-01-30 04:05:00,9272.558962500001,9072.558962500001,9972.558962500001,closed,True,2020-01-30 13:40:00,9381.435,TimeExit,108.87603749999835,1.1741746581533041
2020-01-31,sell,2020-01-31 04:00:00,9409.028132500001,9609.028132500001,8709.028132500001,closed,True,2020-01-31 13:40:00,9266.580000000002,TimeExit,142.4481324999997,1.5372244398688562
2020-02-01,sell,2020-02-01 04:55:00,9392.3664675,9592.3664675,8692.3664675,closed,True,2020-02-01 13:40:00,9341.905,TimeExit,50.461467499999344,0.5401624989763709
2020-02-02,sell,2020-02-02 04:05:00,9232.481450000001,9432.481450000001,8532.481450000001,closed,True,2020-02-02 10:35:00,9432.481450000001,TSL HIT,-200.0,-2.1203328207976435
2020-02-03,buy,2020-02-03 05:25:00,9408.862079999999,9108.862079999999,10108.862079999999,closed,False,2020-02-03 13:40:00,9285.400000000001,TimeExit,-123.46207999999751,-1.312189284424048
2020-02-04,buy,2020-02-04 04:10:00,9290.147752500001,8990.147752500001,9990.147752500001,closed,False,2020-02-04 13:40:00,9117.955,TimeExit,-172.192752500001,-1.8534985350869504
2020-02-05,buy,2020-02-05 05:00:00,9218.051722499999,9018.051722499999,9918.051722499999,closed,True,2020-02-05 13:40:00,9416.210000000001,TimeExit,198.15827750000244,2.149676346644114
2020-02-06,buy,2020-02-06 04:00:00,9629.362275000001,9429.362275000001,10329.362275000001,closed,True,2020-02-06 13:40:00,9779.914999999999,TimeExit,150.55272499999774,1.5634755521751087
2020-02-07,sell,2020-02-07 04:05:00,9743.7007125,9943.7007125,9043.7007125,closed,True,2020-02-07 13:40:00,9762.54,TimeExit,-18.839287500000864,-0.192975265658335
2020-02-08,buy,2020-02-08 04:35:00,9740.7129225,9540.7129225,10440.7129225,closed,True,2020-02-08 13:40:00,9782.885,TimeExit,42.17207749999943,0.4329465187562054
2020-02-09,buy,2020-02-09 04:00:00,10040.367675,9840.367675,10740.367675,closed,True,2020-02-09 13:40:00,10106.245,TimeExit,65.87732500000129,0.6561246274280563
2020-02-10,sell,2020-02-10 04:15:00,10032.48125,10232.48125,9332.48125,closed,True,2020-02-10 13:40:00,9815.240000000002,TimeExit,217.24124999999913,2.2133055330282314
2020-02-11,buy,2020-02-11 05:30:00,9776.275695,9576.275695,10476.275695,closed,True,2020-02-11 13:40:00,9901.335,TimeExit,125.05930499999886,1.2792121345755358
2020-02-12,buy,2020-02-12 04:20:00,10313.4591525,10113.4591525,11013.4591525,closed,True,2020-02-12 13:40:00,10367.099999999999,TimeExit,53.64084749999893,0.5201052983954124
2020-02-13,buy,2020-02-13 06:00:00,10449.957367499997,10149.957367499997,11149.957367499997,closed,False,2020-02-13 09:25:00,10149.957367499997,StopLoss,-300.0,-2.870825109134112
2020-02-14,sell,2020-02-14 04:20:00,10200.807045,10400.807045,9500.807045,closed,True,2020-02-14 13:40:00,10237.39,TimeExit,-36.582954999999856,-0.35734650140318847
2020-02-15,sell,2020-02-15 06:00:00,10219.4427225,10519.4427225,9519.4427225,closed,False,2020-02-15 13:40:00,10230.005000000001,TimeExit,-10.562277500001073,-0.10324801894037172
2020-02-16,sell,2020-02-16 04:05:00,9970.422295,10170.422295,9270.422295,closed,True,2020-02-16 13:40:00,9914.635,TimeExit,55.787295000000086,0.5626762356859327
2020-02-17,sell,2020-02-17 04:10:00,9767.233940000002,9967.233940000002,9067.233940000002,closed,True,2020-02-17 13:40:00,9566.645,TimeExit,200.58894000000146,2.0967532504864606
2020-02-18,buy,2020-02-18 04:10:00,9760.442782499998,9560.442782499998,10460.442782499998,closed,True,2020-02-18 13:40:00,9641.925000000001,TimeExit,-118.51778249999734,-1.2142664543097759
2020-02-19,sell,2020-02-19 04:05:00,10132.431250000001,10332.431250000001,9432.431250000001,closed,True,2020-02-19 13:40:00,10134.505,TimeExit,-2.0737499999977445,-0.020462272207644183
2020-02-20,buy,2020-02-20 06:55:00,9600.7729875,9400.7729875,10300.7729875,closed,True,2020-02-20 13:40:00,9564.835000000001,TimeExit,-35.93798749999951,-0.37432389607368055
2020-02-21,buy,2020-02-21 04:00:00,9729.612374999999,9429.612374999999,10429.612374999999,closed,False,2020-02-21 13:40:00,9740.465,TimeExit,10.852625000001353,0.11154221341733717
2020-02-22,sell,2020-02-22 04:40:00,9648.6482625,9848.6482625,8948.6482625,closed,True,2020-02-22 13:40:00,9678.73,TimeExit,-30.08173749999878,-0.3108025278109716
2020-02-23,buy,2020-02-23 04:00:00,9827.2561725,9627.2561725,10527.2561725,closed,True,2020-02-23 13:40:00,9897.285,TimeExit,70.02882750000026,0.7125979649941883
2020-02-24,sell,2020-02-24 06:45:00,9737.778675000001,9937.778675000001,9037.778675000001,closed,True,2020-02-24 13:40:00,9760.855000000001,TimeExit,-23.076324999999997,-0.23641704543301278
2020-02-25,sell,2020-02-25 04:00:00,9567.808702500002,9767.808702500002,8867.808702500002,closed,True,2020-02-25 13:40:00,9577.449999999999,TimeExit,-9.641297499996654,-0.10066664404404513
2020-02-26,sell,2020-02-26 04:10:00,9115.829805000001,9315.829805000001,8415.829805000001,closed,True,2020-02-26 13:40:00,9169.18,TimeExit,-53.350194999999076,-0.5818425966116814
2020-02-27,buy,2020-02-27 05:50:00,8764.810215,8564.810215,9464.810215,closed,True,2020-02-27 13:40:00,8819.12,TimeExit,54.309785000001284,0.6196344663237152
2020-02-28,sell,2020-02-28 04:00:00,8832.2166825,9032.2166825,8132.2166825,closed,True,2020-02-28 13:40:00,8664.744999999999,TimeExit,167.4716825000014,1.9327941272363036
2020-02-29,buy,2020-02-29 04:10:00,8754.550087499998,8554.550087499998,9454.550087499998,closed,True,2020-02-29 13:40:00,8638.470000000001,TimeExit,-116.08008749999681,-1.3259400693330758
2020-03-01,sell,2020-03-01 04:05:00,8611.4271325,8811.4271325,7911.427132500001,closed,True,2020-03-01 13:40:00,8587.63,TimeExit,23.79713250000168,0.2771094294933718
2020-03-02,buy,2020-03-02 05:55:00,8658.2319525,8458.2319525,9358.2319525,closed,True,2020-03-02 13:40:00,8841.404999999999,TimeExit,183.17304749999857,2.1155941363653286
2020-03-03,sell,2020-03-03 04:15:00,8852.901335,9052.901335,8152.9013350000005,closed,True,2020-03-03 13:40:00,8796.655,TimeExit,56.24633499999982,0.6394059446459988
2020-03-04,buy,2020-03-04 04:40:00,8835.595589999999,8535.595589999999,9535.595589999999,closed,False,2020-03-04 13:40:00,8753.685000000001,TimeExit,-81.91058999999768,-0.9270522758273669
2020-03-05,sell,2020-03-05 04:10:00,8881.3221175,9181.3221175,8181.3221175,closed,False,2020-03-05 13:40:00,9079.57,TimeExit,-198.24788249999983,-2.1834501248407134
2020-03-06,sell,2020-03-06 04:25:00,9041.167155000001,9341.167155000001,8341.167155000001,closed,False,2020-03-06 13:40:00,9104.465,TimeExit,-63.29784499999914,-0.6952395884876172
2020-03-07,sell,2020-03-07 04:35:00,9099.138155,9399.138155,8399.138155,closed,False,2020-03-07 13:40:00,9099.66,TimeExit,-0.5218449999993027,-0.0057347747058567045
2020-03-08,sell,2020-03-08 10:10:00,8713.5560425,8913.5560425,8013.5560425,closed,True,2020-03-08 13:40:00,8694.07,TimeExit,19.48604250000062,0.22413026925249824
2020-03-09,sell,2020-03-09 04:10:00,8004.255870000001,8204.25587,7304.255870000001,closed,True,2020-03-09 13:40:00,7789.205,TimeExit,215.05087000000094,2.7608834277695893
2020-03-10,buy,2020-03-10 04:00:00,7931.4237299999995,7731.4237299999995,8631.423729999999,closed,True,2020-03-10 13:40:00,8040.445,TimeExit,109.02127000000019,1.3745485515751277
2020-03-11,buy,2020-03-11 04:10:00,7948.952489999999,7648.952489999999,8648.95249,closed,False,2020-03-11 13:40:00,7865.455,TimeExit,-83.49748999999883,-1.0504212989704165
2020-03-12,sell,2020-03-12 04:10:00,7575.920145,7775.920145,6875.920145,closed,True,2020-03-12 10:35:00,6875.920145,Target,700.0,10.180455637039687
2020-03-13,sell,2020-03-13 04:55:00,4815.920835,5115.920835,4115.920835,closed,False,2020-03-13 05:05:00,5115.920835,StopLoss,-300.0,-5.864046956074532
2020-03-14,sell,2020-03-14 06:05:00,5444.0216275,5644.0216275,4744.0216275,closed,True,2020-03-14 13:40:00,5377.570000000001,TimeExit,66.45162749999963,1.2357185029669537
2020-03-15,buy,2020-03-15 04:00:00,5213.2053,5013.2053,5913.2053,closed,True,2020-03-15 13:40:00,5358.29,TimeExit,145.08470000000034,2.7830229513501115
2020-03-16,sell,2020-03-16 04:00:00,5238.7643075000005,5438.7643075000005,4538.7643075000005,closed,True,2020-03-16 10:05:00,4538.7643075000005,Target,700.0,15.422699937145822
2020-03-17,sell,2020-03-17 04:20:00,5243.312032500001,5443.312032500001,4543.312032500001,closed,True,2020-03-17 13:40:00,5214.3150000000005,TimeExit,28.997032500000387,0.5561043492769535
2020-03-18,buy,2020-03-18 04:40:00,5432.1547199999995,5132.1547199999995,6132.1547199999995,closed,False,2020-03-18 07:45:00,5132.1547199999995,StopLoss,-300.0,-5.522670385205819
2020-03-19,buy,2020-03-19 05:30:00,5347.612469999999,5147.612469999999,6047.612469999999,closed,True,2020-03-19 13:40:00,5790.5199999999995,TimeExit,442.9075300000004,8.282341558680685
2020-03-20,buy,2020-03-20 04:40:00,6185.531219999999,5985.531219999999,6885.531219999999,closed,True,2020-03-20 10:30:00,6885.531219999999,Target,700.0,11.316732146410535
2020-03-21,sell,2020-03-21 04:50:00,6147.019952500001,6347.019952500001,5447.019952500001,closed,True,2020-03-21 13:40:00,6218.385,TimeExit,-71.36504749999949,-1.1476460125900756
2020-03-22,buy,2020-03-22 04:00:00,6366.091455000001,6166.091455000001,7066.091455000001,closed,True,2020-03-22 11:55:00,6166.091455000001,TSL HIT,-200.0,-3.141645095954715
2020-03-23,sell,2020-03-23 08:20:00,5848.97405,6048.97405,5148.97405,closed,True,2020-03-23 12:10:00,6048.97405,TSL HIT,-200.0,-3.30634580917073
2020-03-24,sell,2020-03-24 04:10:00,6541.1527875,6741.1527875,5841.1527875,closed,True,2020-03-24 08:20:00,6741.1527875,TSL HIT,-200.0,-2.966851609873855
2020-03-25,buy,2020-03-25 04:55:00,6626.4265575,6426.4265575,7326.4265575,closed,True,2020-03-25 13:40:00,6713.26,TimeExit,86.83344250000027,1.310411301574299
2020-03-26,buy,2020-03-26 04:00:00,6762.2444325,6462.2444325,7462.2444325,closed,False,2020-03-26 13:40:00,6605.304999999999,TimeExit,-156.9394325000003,-2.3208186877382686
2020-03-27,buy,2020-03-27 04:00:00,6821.514052499999,6521.514052499999,7521.514052499999,closed,False,2020-03-27 13:40:00,6596.084999999999,TimeExit,-225.42905249999967,-3.3046776824769974
2020-03-28,buy,2020-03-28 08:15:00,6268.942904999999,6068.942904999999,6968.942904999999,closed,True,2020-03-28 13:40:00,6218.04,TimeExit,-50.90290499999901,-0.8119854618455657
2020-03-29,sell,2020-03-29 05:15:00,6188.149377500001,6388.149377500001,5488.149377500001,closed,True,2020-03-29 13:40:00,6107.1849999999995,TimeExit,80.96437750000132,1.325723348809671
2020-03-30,buy,2020-03-30 04:00:00,6017.367179999999,5817.367179999999,6717.367179999999,closed,True,2020-03-30 13:40:00,6331.58,TimeExit,314.21282000000065,5.221765775642773
